"holderAddress","DEPOSIT_NECT_VAULT","DEPOSIT_iBGT_VAULT","GALXE","CUBQUEST","HOLD_GENESIS_NFT","HOLD_BERAC_POL_NFT","HOLD_BERAC_POL_2_NFT","STAKE_DIRAC_Phase_2","Stake_LP_KODIAK","STAKE_INFRARED","STAKE_BGT_STATION","TOTAL_POINTS"
"0x61b4002874d9bbf48588bd99c83680fc890b952b",0,0,50,0,0,0,0,0,0,0,0,50
"0x8dba0d03c1119e74e282ccd0118d94cfeb0fae4a",0,0,50,0,0,0,0,0,0,0,0,50
"0x601c268d2bf6febd2eca743c6691b730357d8807",0,0,50,0,0,0,0,0,0,0,0,50
"0x662de13196074112f889f9a5d2e313c89cd4333b",0,0,50,0,0,0,0,0,0,0,0,50
"0x16eea40dcc73dfb71a5695eefa0b843a7b9b3a55",0,0,50,0,0,0,0,0,0,0,0,50
"0xae2cac251f81bb41856b3ebc5b4596abba815349",0,0,50,0,0,0,0,0,0,0,0,50
"0x6ebd772f1f85009a0ca3a34325da8ed5bcee3f40",0,0,50,0,0,0,0,0,0,0,0,50
"0x058fd36a48e1c9980b34b41eac8a46c3eaf19a41",0,20,50,0,0,0,40,10,10,0,0,130
"0x1cae78b06bc696d391a6d2ccaa7b2f56aec77c16",0,0,50,0,0,0,0,0,0,0,0,50
"0x36f61104bdee13938701fbb784395e2327464de8",20,20,0,50,0,0,0,0,0,0,0,90
"0x26ac6b58c7ce33589397ea296f2afde70e905efd",0,0,50,0,0,0,0,0,0,0,0,50
"0x955fe70a3ec8cd3767a2fcacf817465b5a324bc5",20,20,0,50,0,0,0,0,0,0,0,90
"0x3788bb6521f2e7e1b6177a802f57c6512d7b2ca8",0,0,50,0,0,0,0,0,0,0,0,50
"0x1631e3860d15e33b98f9ea8520593d8deadc7144",0,0,50,0,0,0,0,0,0,0,0,50
"0x295272f8d2358b4244203d046f3cf9e12c952dbc",0,0,50,0,0,0,0,0,0,0,0,50
"0xcb895dfa8808d0c5a900ced39da485ddc0bf31e9",20,20,50,50,0,60,0,10,0,0,0,210
"0xc189b7380783391b71ed64985aa89da80f1e779e",0,0,50,0,0,0,0,0,10,0,0,60
"0xa0b3ed02e2d0aa22e2e370442ae0b070218a7225",0,0,50,0,0,0,0,0,0,0,0,50
"0xfb6ae4cb647d82a1e4e66b0d2334e8d6ddd8c6a5",0,0,0,0,0,0,0,0,10,0,0,10
"0x31e73d65e715fc80469edc3c3fec77e9478097be",20,20,50,50,0,75,200,0,0,0,0,415
"0x36260baa84add0835c546e5dcbaeaefe8f387c83",0,0,50,0,0,0,0,0,0,0,0,50
"0xae413cb1e1081784c6daf1e3ccf64c99d4b8e69f",0,0,50,0,0,0,0,0,0,0,0,50
"0x729b82d268cecf3dc26e5b4e746e9bcd0b9e3edb",0,0,50,0,0,0,0,0,0,0,0,50
"0x6ea0215758710ee19af389c02b82d7ca86326e1b",0,0,50,0,0,0,0,0,0,0,0,50
"0x9e30bec1e31e06ab60c331fe342f792bb98cd0b1",20,20,50,0,0,0,0,10,10,0,0,110
"0xc21140ef0f0eca7b801d6a22d90e8238d7b9b32f",0,0,50,0,0,0,0,0,10,0,30,90
"0x3dfdb2b806750d6cec9d1c8d6ea8e44d31833880",0,0,50,0,0,0,0,0,0,0,0,50
"0x8534c791e37147eb1762273110157a973f472889",0,0,50,0,0,0,0,0,0,0,0,50
"0x839c5fd954f7ec609038324ff69a568fbdeb96ab",0,0,50,0,0,0,0,0,0,0,0,50
"0xb9e324afbbe9d1f37e1d9c347b7b9c0a0a3fc666",0,0,50,0,0,0,0,0,0,0,0,50
"0x97f2ec1d098a282bc6196d25360eed5208287374",0,0,50,0,0,0,0,0,0,0,0,50
"0x84b965dcfbed35a1ca46c72aa548214b9b4a2eef",0,0,50,0,0,0,0,0,0,0,0,50
"0x3a39899dc78b7307acd83f51463c853fa79e1b09",20,20,0,50,0,0,0,10,0,0,0,100
"0x96022f71daa34759505c670484506afac49477e4",0,0,50,0,0,0,0,0,0,0,0,50
"0x962160fc8e0c0d4bb9db7b55462c7e071285b387",0,0,50,0,0,0,0,0,0,0,0,50
"0x26ae67f4070a7b224c5c31b4e0c3686425b24da8",0,0,50,0,0,0,0,0,0,0,0,50
